,miRNA,Target
446,hsa-miR-499a-5p,PTAR1
447,hsa-miR-208a-3p/hsa-miR-208b-3p,PTPN4
448,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,BAZ2B
449,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,MAP3K2
450,hsa-miR-340-5p,USP28
451,hsa-miR-142-3p.2,SH2B3
452,hsa-miR-144-3p,GRM5
453,hsa-miR-27a-3p/hsa-miR-27b-3p,RSBN1L
454,hsa-miR-145-5p/hsa-miR-5195-3p,LARP4B
455,hsa-miR-101-3p.1,GSE1
456,hsa-miR-141-3p/hsa-miR-200a-3p,RNF11
457,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,CELSR3
458,hsa-miR-124-3p.1,ZBTB20
459,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,FIGN
460,hsa-miR-300/hsa-miR-381-3p,HOXC8
461,hsa-miR-133a-3p.2/hsa-miR-133b,GDNF
462,hsa-miR-129-5p,NFIB
463,hsa-miR-140-3p.1,NR6A1
464,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,ACVR1B
465,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,ZBTB7A
466,hsa-miR-183-5p.2,MAPK1
467,hsa-miR-323a-3p,AKAP11
468,hsa-miR-31-5p,HIF1AN
469,hsa-miR-129-1-3p/hsa-miR-129-2-3p,TANC2
470,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,G6PD
471,hsa-miR-3167/hsa-miR-876-5p,CDC27
472,hsa-miR-183-5p.1,PTPN4
473,hsa-miR-135a-5p/hsa-miR-135b-5p,SYT2
474,hsa-miR-124-3p.2/hsa-miR-506-3p,TEAD1
475,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,HCN3
