,miRNA,Target
36264,hsa-miR-873-5p.1,ZEB1
36265,hsa-miR-486-5p,
36266,hsa-miR-1306-5p,TMEM38B
36267,hsa-miR-491-5p,DOK4
36268,hsa-miR-33a-5p/hsa-miR-33b-5p,MTHFD2
36269,hsa-miR-544a,UBE2G1
36270,hsa-miR-425-5p,PABPN1
36271,hsa-miR-1249-3p,
36272,hsa-miR-330-3p,MXD1
36273,hsa-miR-379-3p/hsa-miR-411-3p,FNBP1L
36274,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,MUM1
36275,hsa-miR-532-3p,BCAS1
36276,hsa-miR-668-3p,LCMT2
36277,hsa-miR-371a-5p,UVRAG
36278,hsa-miR-448,RHEBL1
36279,hsa-miR-338-3p,DGKB
36280,hsa-miR-873-5p.2,RORA
36281,hsa-miR-205-5p,PICALM
36282,hsa-miR-326/hsa-miR-330-5p,MED14
36283,hsa-miR-216a-5p,RGS7BP
36284,hsa-miR-154-3p/hsa-miR-487a-3p,
36285,hsa-miR-149-5p,INTS3
36286,hsa-miR-1193/hsa-miR-370-5p,RAB3B
36287,hsa-miR-214-5p,PAK4
36288,hsa-miR-542-3p,MEGF11
36289,hsa-miR-494-3p,SOCS5
36290,hsa-miR-504-5p.1,KLC2
36291,hsa-miR-191-5p,
36292,hsa-miR-431-5p,
36293,hsa-miR-384,NKAIN2
36294,hsa-miR-375,HIVEP2
36295,hsa-miR-376c-3p,ERMP1
36296,hsa-miR-383-5p.2,GPHN
36297,hsa-miR-217/hsa-miR-6807-3p,PTP4A1
36298,hsa-miR-1251-5p,
36299,hsa-miR-3064-5p/hsa-miR-6504-5p,SZRD1
36300,hsa-miR-409-5p,
36301,hsa-miR-362-5p,NMT1
36302,hsa-miR-193a-3p/hsa-miR-193b-3p,AAK1
36303,hsa-miR-411-5p.2,
36304,hsa-miR-488-3p,CCNG1
36305,hsa-miR-296-3p,
36306,hsa-miR-335-5p,CPZ
36307,hsa-miR-877-5p,
36308,hsa-miR-299-3p,
36309,hsa-miR-154-5p,
36310,hsa-miR-296-5p,TSFM
36311,hsa-miR-346,UEVLD
36312,hsa-miR-382-5p,RPE
36313,hsa-miR-153-3p,CAPN15
36314,hsa-miR-670-3p,CYP2U1
36315,hsa-miR-212-5p,CPLX3
36316,hsa-miR-186-5p,PSPH
36317,hsa-miR-532-5p,PURB
36318,hsa-miR-875-5p,
36319,hsa-miR-505-3p.2,TCF4
36320,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,APBB2
36321,hsa-miR-760,HIST1H2AK
36322,hsa-miR-3184-5p/hsa-miR-423-5p,MGLL
36323,hsa-miR-1197,GHDC
36324,hsa-miR-485-3p/hsa-miR-539-3p,AP3D1
36325,hsa-miR-339-5p,KMT2A
36326,hsa-miR-665,TMEM259
36327,hsa-miR-451a,
36328,hsa-miR-187-3p,
36329,hsa-miR-328-3p,RGL2
36330,hsa-miR-493-3p,
36331,hsa-miR-412-5p,
36332,hsa-miR-134-5p/hsa-miR-3118,TM7SF2
36333,hsa-miR-147b,
36334,hsa-miR-503-5p,ARPP19
36335,hsa-miR-485-5p/hsa-miR-6884-5p,PRMT7
36336,hsa-miR-874-3p,AGO3
36337,hsa-miR-329-3p/hsa-miR-362-3p,POU2F1
36338,hsa-miR-652-3p,
36339,hsa-miR-133a-3p.1,STK3
36340,hsa-miR-450a-5p,
36341,hsa-miR-487b-3p,
36342,hsa-miR-331-3p,KCMF1
36343,hsa-miR-184,
36344,hsa-miR-615-3p,
36345,hsa-miR-210-3p,
36346,hsa-miR-126-3p.2,
36347,hsa-miR-127-3p,
36348,hsa-miR-758-3p,BMP7
36349,hsa-miR-423-3p,
36350,hsa-miR-744-5p,
36351,hsa-miR-490-3p,B4GALT1
36352,hsa-miR-151a-5p/hsa-miR-151b,
36353,hsa-miR-551a/hsa-miR-551b-3p,
36354,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,URM1
36355,hsa-miR-193a-5p,VPS13B
36356,hsa-miR-182-5p,FNBP1
36357,hsa-miR-101-3p.2,RSBN1L
36358,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,WDR20
36359,hsa-miR-9-5p,PANK3
36360,hsa-miR-1271-5p/hsa-miR-96-5p,IRF6
36361,hsa-miR-493-5p,DCUN1D1
36362,hsa-miR-499a-5p,RAB5C
36363,hsa-miR-208a-3p/hsa-miR-208b-3p,GLYR1
36364,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,ZBTB37
36365,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,TRIM36
36366,hsa-miR-340-5p,AP4E1
36367,hsa-miR-142-3p.2,MYO1C
36368,hsa-miR-144-3p,DPYSL5
36369,hsa-miR-27a-3p/hsa-miR-27b-3p,NEBL
36370,hsa-miR-145-5p/hsa-miR-5195-3p,ZBTB46
36371,hsa-miR-101-3p.1,ARHGAP1
36372,hsa-miR-141-3p/hsa-miR-200a-3p,DOCK4
36373,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,VPS26B
36374,hsa-miR-124-3p.1,RAB3D
36375,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,ANKRD13C
36376,hsa-miR-300/hsa-miR-381-3p,SMARCA5
36377,hsa-miR-133a-3p.2/hsa-miR-133b,GLRA2
36378,hsa-miR-129-5p,ZNF703
36379,hsa-miR-140-3p.1,EXOSC7
36380,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,TSPAN18
36381,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,RAB11FIP5
36382,hsa-miR-183-5p.2,APPBP2
36383,hsa-miR-323a-3p,ZC3H12B
36384,hsa-miR-31-5p,EHBP1
36385,hsa-miR-129-1-3p/hsa-miR-129-2-3p,SUN2
36386,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,RYBP
36387,hsa-miR-3167/hsa-miR-876-5p,TESK2
36388,hsa-miR-183-5p.1,SRSF11
36389,hsa-miR-135a-5p/hsa-miR-135b-5p,PPTC7
36390,hsa-miR-124-3p.2/hsa-miR-506-3p,PDE7A
36391,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,SEMA4C
36392,hsa-miR-142-5p/hsa-miR-5590-3p,NETO2
36393,hsa-miR-802,SDC2
36394,hsa-miR-421,HMG20A
36395,hsa-miR-103a-3p/hsa-miR-107,TDG
36396,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,SLC7A11
36397,hsa-miR-582-5p,LRCH4
36398,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,CFL2
36399,hsa-miR-495-3p/hsa-miR-5688,ANKRD40
36400,hsa-miR-138-5p,SLX4
36401,hsa-miR-299-5p,CLCN5
36402,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,SCN5A
36403,hsa-miR-137,SZRD1
36404,hsa-miR-203a-3p.1,STYK1
36405,hsa-miR-190a-5p/hsa-miR-190b,DCLK1
36406,hsa-miR-21-5p/hsa-miR-590-5p,RETSAT
36407,hsa-miR-155-5p,MYLK4
36408,hsa-miR-501-3p/hsa-miR-502-3p,APC
36409,hsa-miR-455-3p.1,AZIN1
36410,hsa-miR-10a-5p/hsa-miR-10b-5p,ZBTB43
36411,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,TAF13
36412,hsa-miR-410-3p,ARHGEF40
36413,hsa-miR-543,STT3B
36414,hsa-miR-302c-3p.2/hsa-miR-520f-3p,ZBTB7A
36415,hsa-miR-122-5p,FUT8
36416,hsa-miR-142-3p.1,COPG1
36417,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,UBE2W
36418,hsa-miR-140-3p.2,ATXN7L3
36419,hsa-miR-374a-5p/hsa-miR-374b-5p,ZNF281
36420,hsa-miR-132-3p/hsa-miR-212-3p,MEPCE
36421,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,
36422,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,ADAMTS3
36423,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,USP47
36424,hsa-miR-325-3p,ABHD8
36425,hsa-miR-489-3p,FBXO40
36426,hsa-miR-365a-3p/hsa-miR-365b-3p,GBA
36427,hsa-miR-223-3p,MEF2D
36428,hsa-miR-653-5p,SCGB1D1
36429,hsa-miR-139-5p,DAB1
36430,hsa-miR-505-3p.1,TMTC4
36431,hsa-miR-218-5p,TBX15
36432,hsa-miR-202-5p,IL1RAPL1
36433,hsa-miR-483-3p.2,
36434,hsa-miR-24-3p,NR5A1
36435,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,F3
36436,hsa-miR-1298-5p,
36437,hsa-miR-204-5p/hsa-miR-211-5p,UBA6
36438,hsa-miR-433-3p,SUCNR1
36439,hsa-miR-376a-3p/hsa-miR-376b-3p,EVA1C
36440,hsa-miR-216b-5p,CLCC1
36441,hsa-miR-22-3p,DPYSL3
36442,hsa-miR-383-5p.1,PAWR
36443,hsa-miR-203a-3p.2,COL4A4
36444,hsa-miR-455-3p.2,CAMK2B
36445,hsa-miR-19a-3p/hsa-miR-19b-3p,PHLDA3
36446,hsa-miR-455-5p,TTC17
36447,hsa-miR-496.1,
36448,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,GABPA
36449,hsa-miR-369-3p,STOX2
36450,hsa-miR-188-5p/hsa-miR-6866-3p,UBE2J1
36451,hsa-miR-221-3p/hsa-miR-222-3p,PTBP2
36452,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,RPA3
36453,hsa-miR-361-5p,GPR180
36454,hsa-miR-377-3p,LRP8
36455,hsa-miR-224-5p,GPR173
36456,hsa-miR-7-5p,LRP10
36457,hsa-miR-126-3p.1,
36458,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,ZIC5
36459,hsa-miR-6835-3p,IGSF10
36460,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,SYNRG
36461,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,CTGF
36462,hsa-miR-496.2,CDYL2
36463,hsa-miR-196a-5p/hsa-miR-196b-5p,IGDCC4
36464,hsa-miR-3529-5p/hsa-miR-379-5p,
36465,hsa-miR-374c-5p/hsa-miR-655-3p,KLF10
36466,hsa-miR-219a-2-3p,KCNMB3
36467,hsa-miR-194-5p,COLCA1
36468,hsa-miR-199a-5p/hsa-miR-199b-5p,PAK4
36469,hsa-miR-28-3p,
36470,hsa-miR-140-5p,SCRN1
36471,hsa-miR-342-3p,KPNA6
36472,hsa-miR-192-5p/hsa-miR-215-5p,FAXC
36473,hsa-miR-409-3p,SPIN1
36474,hsa-miR-382-3p,SPATA13
36475,hsa-miR-483-3p.1,
36476,hsa-miR-324-5p,
36477,hsa-miR-411-5p.1,
36478,hsa-miR-1224-5p,NOVA1
36479,hsa-miR-150-5p,TADA1
36480,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,AAK1
36481,hsa-miR-136-5p,EXOSC2
36482,hsa-miR-151a-3p,
36483,hsa-miR-873-5p.1,TEAD1
36484,hsa-miR-486-5p,
36485,hsa-miR-1306-5p,EIF2S2
36486,hsa-miR-491-5p,CDYL2
36487,hsa-miR-33a-5p/hsa-miR-33b-5p,SREBF1
36488,hsa-miR-544a,HSCB
36489,hsa-miR-425-5p,RAB2B
36490,hsa-miR-1249-3p,
36491,hsa-miR-330-3p,RBBP5
36492,hsa-miR-379-3p/hsa-miR-411-3p,ZNF280C
36493,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,LUZP1
36494,hsa-miR-532-3p,CC2D1B
36495,hsa-miR-668-3p,SOCS7
36496,hsa-miR-371a-5p,SPTBN1
36497,hsa-miR-448,SOST
36498,hsa-miR-338-3p,KCNA4
36499,hsa-miR-873-5p.2,TNRC6B
36500,hsa-miR-205-5p,SIK2
36501,hsa-miR-326/hsa-miR-330-5p,AHCYL2
36502,hsa-miR-216a-5p,TAL2
36503,hsa-miR-154-3p/hsa-miR-487a-3p,
36504,hsa-miR-149-5p,ST3GAL1
36505,hsa-miR-1193/hsa-miR-370-5p,B4GALT5
36506,hsa-miR-214-5p,PARS2
36507,hsa-miR-542-3p,NCKAP1
36508,hsa-miR-494-3p,P4HA1
36509,hsa-miR-504-5p.1,IL16
36510,hsa-miR-191-5p,
36511,hsa-miR-431-5p,
36512,hsa-miR-384,CEP57L1
36513,hsa-miR-375,ATXN7L1
36514,hsa-miR-376c-3p,VLDLR
36515,hsa-miR-383-5p.2,DIEXF
36516,hsa-miR-217/hsa-miR-6807-3p,CHN2
36517,hsa-miR-1251-5p,
36518,hsa-miR-3064-5p/hsa-miR-6504-5p,C16orf45
36519,hsa-miR-409-5p,
36520,hsa-miR-362-5p,PRIM2
36521,hsa-miR-193a-3p/hsa-miR-193b-3p,NT5DC3
36522,hsa-miR-411-5p.2,
36523,hsa-miR-488-3p,ARMCX3
36524,hsa-miR-296-3p,
36525,hsa-miR-335-5p,MRFAP1
36526,hsa-miR-877-5p,
36527,hsa-miR-299-3p,
36528,hsa-miR-154-5p,
36529,hsa-miR-296-5p,FDX1L
36530,hsa-miR-346,ITGBL1
36531,hsa-miR-382-5p,DLX3
36532,hsa-miR-153-3p,CTDSPL2
36533,hsa-miR-670-3p,TSKU
36534,hsa-miR-212-5p,ATG9A
36535,hsa-miR-186-5p,DLC1
36536,hsa-miR-532-5p,CXCL1
36537,hsa-miR-875-5p,
36538,hsa-miR-505-3p.2,ZNF536
36539,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,ZDHHC3
36540,hsa-miR-760,EPHB3
36541,hsa-miR-3184-5p/hsa-miR-423-5p,GLYR1
36542,hsa-miR-1197,ECE1
36543,hsa-miR-485-3p/hsa-miR-539-3p,ZNF770
36544,hsa-miR-339-5p,SESN3
36545,hsa-miR-665,PTPRB
36546,hsa-miR-451a,
36547,hsa-miR-187-3p,
36548,hsa-miR-328-3p,PRDM16
36549,hsa-miR-493-3p,
36550,hsa-miR-412-5p,
36551,hsa-miR-134-5p/hsa-miR-3118,RAN
36552,hsa-miR-147b,
36553,hsa-miR-503-5p,SETD6
36554,hsa-miR-485-5p/hsa-miR-6884-5p,DNAJB13
36555,hsa-miR-874-3p,AGO1
36556,hsa-miR-329-3p/hsa-miR-362-3p,VANGL2
36557,hsa-miR-652-3p,
36558,hsa-miR-133a-3p.1,PAN3
36559,hsa-miR-450a-5p,
36560,hsa-miR-487b-3p,
36561,hsa-miR-331-3p,FAM126A
36562,hsa-miR-184,
36563,hsa-miR-615-3p,
36564,hsa-miR-210-3p,
36565,hsa-miR-126-3p.2,
36566,hsa-miR-127-3p,
36567,hsa-miR-758-3p,ETV6
36568,hsa-miR-423-3p,
36569,hsa-miR-744-5p,
36570,hsa-miR-490-3p,URB1
36571,hsa-miR-151a-5p/hsa-miR-151b,
36572,hsa-miR-551a/hsa-miR-551b-3p,
36573,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,RIMS4
36574,hsa-miR-193a-5p,MPST
36575,hsa-miR-182-5p,OSBPL10
36576,hsa-miR-101-3p.2,SH2B3
36577,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,LCOR
36578,hsa-miR-9-5p,RASSF3
36579,hsa-miR-1271-5p/hsa-miR-96-5p,PRKCE
36580,hsa-miR-493-5p,STAT5B
36581,hsa-miR-499a-5p,ARGLU1
36582,hsa-miR-208a-3p/hsa-miR-208b-3p,SHISA6
36583,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,ABCB9
36584,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,AKAP13
36585,hsa-miR-340-5p,MAPK6
36586,hsa-miR-142-3p.2,PLD2
36587,hsa-miR-144-3p,SMARCA5
36588,hsa-miR-27a-3p/hsa-miR-27b-3p,CALD1
36589,hsa-miR-145-5p/hsa-miR-5195-3p,RASA1
36590,hsa-miR-101-3p.1,LRRC4
36591,hsa-miR-141-3p/hsa-miR-200a-3p,NCOA2
36592,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,MAN1A2
36593,hsa-miR-124-3p.1,CHP1
36594,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,TBPL1
36595,hsa-miR-300/hsa-miR-381-3p,GTF2E1
36596,hsa-miR-133a-3p.2/hsa-miR-133b,ANKRD44
36597,hsa-miR-129-5p,RSRC2
36598,hsa-miR-140-3p.1,RBM15B
36599,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,AGO4
36600,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,LEF1
36601,hsa-miR-183-5p.2,DUSP10
36602,hsa-miR-323a-3p,PDE4D
36603,hsa-miR-31-5p,KHDRBS3
36604,hsa-miR-129-1-3p/hsa-miR-129-2-3p,PLCXD3
36605,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,AGO1
36606,hsa-miR-3167/hsa-miR-876-5p,POLH
36607,hsa-miR-183-5p.1,PPM1E
36608,hsa-miR-135a-5p/hsa-miR-135b-5p,SPOCK1
36609,hsa-miR-124-3p.2/hsa-miR-506-3p,VSNL1
36610,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,SIDT2
36611,hsa-miR-142-5p/hsa-miR-5590-3p,ENPP5
36612,hsa-miR-802,ACO1
36613,hsa-miR-421,SPTY2D1
36614,hsa-miR-103a-3p/hsa-miR-107,PLCB1
36615,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,PER2
36616,hsa-miR-582-5p,ADAM17
36617,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,SIKE1
36618,hsa-miR-495-3p/hsa-miR-5688,KLF10
36619,hsa-miR-138-5p,CLMP
36620,hsa-miR-299-5p,SP2
36621,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,RASSF3
36622,hsa-miR-137,PTPN5
36623,hsa-miR-203a-3p.1,CBX5
36624,hsa-miR-190a-5p/hsa-miR-190b,NPNT
36625,hsa-miR-21-5p/hsa-miR-590-5p,RAB11A
36626,hsa-miR-155-5p,SLC2A12
36627,hsa-miR-501-3p/hsa-miR-502-3p,ZBTB20
36628,hsa-miR-455-3p.1,SAMD5
36629,hsa-miR-10a-5p/hsa-miR-10b-5p,KIAA1549
36630,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,STAC2
36631,hsa-miR-410-3p,SPRED1
36632,hsa-miR-543,PCNP
36633,hsa-miR-302c-3p.2/hsa-miR-520f-3p,PRDM4
36634,hsa-miR-122-5p,FGF1
36635,hsa-miR-142-3p.1,ZMYND8
36636,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,LIFR
36637,hsa-miR-140-3p.2,TRIM71
36638,hsa-miR-374a-5p/hsa-miR-374b-5p,RFTN2
36639,hsa-miR-132-3p/hsa-miR-212-3p,LIN28B
36640,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,
36641,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,CBLB
36642,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,ARRDC3
36643,hsa-miR-325-3p,YEATS4
36644,hsa-miR-489-3p,INSR
36645,hsa-miR-365a-3p/hsa-miR-365b-3p,GPM6A
36646,hsa-miR-223-3p,CLSTN1
36647,hsa-miR-653-5p,SOCS5
36648,hsa-miR-139-5p,TSPAN5
36649,hsa-miR-505-3p.1,TM9SF2
36650,hsa-miR-218-5p,PBX2
36651,hsa-miR-202-5p,CDK14
36652,hsa-miR-483-3p.2,
36653,hsa-miR-24-3p,STK10
36654,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,LIN28A
36655,hsa-miR-1298-5p,
36656,hsa-miR-204-5p/hsa-miR-211-5p,RAP2C
36657,hsa-miR-433-3p,ZNF652
36658,hsa-miR-376a-3p/hsa-miR-376b-3p,POP1
36659,hsa-miR-216b-5p,ZDHHC9
36660,hsa-miR-22-3p,NFIB
36661,hsa-miR-383-5p.1,SHMT2
36662,hsa-miR-203a-3p.2,FANCB
36663,hsa-miR-455-3p.2,ROBO2
36664,hsa-miR-19a-3p/hsa-miR-19b-3p,SRSF6
36665,hsa-miR-455-5p,RPS6KB1
36666,hsa-miR-496.1,
36667,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,CACNA2D1
36668,hsa-miR-369-3p,PPARGC1B
36669,hsa-miR-188-5p/hsa-miR-6866-3p,TNIK
36670,hsa-miR-221-3p/hsa-miR-222-3p,SRSF2
36671,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,CCDC6
36672,hsa-miR-361-5p,NEBL
36673,hsa-miR-377-3p,B4GALT6
36674,hsa-miR-224-5p,ASB7
36675,hsa-miR-7-5p,AGPS
36676,hsa-miR-126-3p.1,
36677,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,MED12L
36678,hsa-miR-6835-3p,SLC30A6
36679,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,TNIK
36680,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,CACHD1
36681,hsa-miR-496.2,RPS15A
36682,hsa-miR-196a-5p/hsa-miR-196b-5p,AQP4
36683,hsa-miR-3529-5p/hsa-miR-379-5p,
36684,hsa-miR-374c-5p/hsa-miR-655-3p,HSPA13
36685,hsa-miR-219a-2-3p,LDB2
36686,hsa-miR-194-5p,EPHA5
36687,hsa-miR-199a-5p/hsa-miR-199b-5p,MFHAS1
36688,hsa-miR-28-3p,
36689,hsa-miR-140-5p,TJP1
36690,hsa-miR-342-3p,ZBTB26
36691,hsa-miR-192-5p/hsa-miR-215-5p,PKP4
36692,hsa-miR-409-3p,HNRNPK
36693,hsa-miR-382-3p,PSME1
36694,hsa-miR-483-3p.1,
36695,hsa-miR-324-5p,
36696,hsa-miR-411-5p.1,
36697,hsa-miR-1224-5p,WWTR1
36698,hsa-miR-150-5p,UAP1
36699,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,CBX3
36700,hsa-miR-136-5p,AGO1
36701,hsa-miR-151a-3p,
36702,hsa-miR-873-5p.1,IRF2BP2
36703,hsa-miR-486-5p,
36704,hsa-miR-1306-5p,FLRT3
36705,hsa-miR-491-5p,SCIMP
36706,hsa-miR-33a-5p/hsa-miR-33b-5p,HECW1
36707,hsa-miR-544a,ROCK1
36708,hsa-miR-425-5p,CBX6
36709,hsa-miR-1249-3p,
36710,hsa-miR-330-3p,SHC2
36711,hsa-miR-379-3p/hsa-miR-411-3p,KCNB1
36712,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,SBNO1
36713,hsa-miR-532-3p,ZFYVE9
36714,hsa-miR-668-3p,PRKAR1A
36715,hsa-miR-371a-5p,ZBTB14
36716,hsa-miR-448,ING2
36717,hsa-miR-338-3p,GNAQ
36718,hsa-miR-873-5p.2,PCGF5
36719,hsa-miR-205-5p,PPP1R1C
36720,hsa-miR-326/hsa-miR-330-5p,MIEF1
36721,hsa-miR-216a-5p,TNRC6C
36722,hsa-miR-154-3p/hsa-miR-487a-3p,
36723,hsa-miR-149-5p,NFATC2IP
36724,hsa-miR-1193/hsa-miR-370-5p,KCNB1
36725,hsa-miR-214-5p,UBXN2B
36726,hsa-miR-542-3p,TSC22D2
36727,hsa-miR-494-3p,HTRA3
36728,hsa-miR-504-5p.1,ST8SIA1
36729,hsa-miR-191-5p,
36730,hsa-miR-431-5p,
36731,hsa-miR-384,CACUL1
36732,hsa-miR-375,SCN2B
36733,hsa-miR-376c-3p,NKX3-2
36734,hsa-miR-383-5p.2,POLR3G
36735,hsa-miR-217/hsa-miR-6807-3p,FREM2
36736,hsa-miR-1251-5p,
36737,hsa-miR-3064-5p/hsa-miR-6504-5p,ANXA11
36738,hsa-miR-409-5p,
36739,hsa-miR-362-5p,
36740,hsa-miR-193a-3p/hsa-miR-193b-3p,ST6GALNAC3
36741,hsa-miR-411-5p.2,
36742,hsa-miR-488-3p,SH2B3
36743,hsa-miR-296-3p,
36744,hsa-miR-335-5p,DOK6
36745,hsa-miR-877-5p,
36746,hsa-miR-299-3p,
36747,hsa-miR-154-5p,
36748,hsa-miR-296-5p,CALCOCO1
36749,hsa-miR-346,CAND1
36750,hsa-miR-382-5p,PAM
36751,hsa-miR-153-3p,PDP2
36752,hsa-miR-670-3p,SREK1
36753,hsa-miR-212-5p,MED13
36754,hsa-miR-186-5p,TERF1
36755,hsa-miR-532-5p,ZNF248
36756,hsa-miR-875-5p,
36757,hsa-miR-505-3p.2,TLR4
36758,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,FOXQ1
36759,hsa-miR-760,LYRM4
36760,hsa-miR-3184-5p/hsa-miR-423-5p,CDC42SE1
36761,hsa-miR-1197,PAX6
36762,hsa-miR-485-3p/hsa-miR-539-3p,SPRED2
36763,hsa-miR-339-5p,PFKFB3
36764,hsa-miR-665,PARVA
36765,hsa-miR-451a,
36766,hsa-miR-187-3p,
36767,hsa-miR-328-3p,LHFPL2
36768,hsa-miR-493-3p,
36769,hsa-miR-412-5p,
